name,Avg_Income,Price_per_m2,Total_Jobs,Pop_Density,Total_Population,PT_Share,avg_travel_time_ic,avg_destinations,canton,canton_code,employment_density
Vionnaz,64840.0,4593.75,995.0,142.00666418036474,3024.0,,185.83873267380554,7,AR,AR,329.0343915343915
Speicher,85191.0,13172.657327586207,1399.0,494.532923155878,4502.0,,172.29022759655751,11,LU,LU,310.75077743225233
Zwischbergen,55952.0,,36.0,0.7816644765565667,71.0,,189.71532807151038,7,AG,AG,507.0422535211267
Villars-Sur-Glâne,78556.0,6762.0,10751.0,2275.4587887687744,12507.0,36.7,176.88167955276,7,TI,TI,859.5986247701287
Villarsel-Sur-Marly,83267.0,,21.0,44.99488916748043,69.0,,175.98303790033256,13,JU,JU,304.34782608695656
Wila,68398.0,6831.176470588235,633.0,199.256254576505,2113.0,,174.22250400815926,9,AG,AG,299.5740653099858
Wil (Zh),87323.0,,472.0,176.42237311771947,1572.0,,200.0,4,ZG,ZG,300.25445292620867
Wettingen,76869.0,9605.065217391304,8230.0,1940.964088834097,21856.0,39.4,169.36576390879063,9,TG,TG,376.55563689604685
Wetzikon (Zh),73387.0,8679.681818181818,14990.0,1737.3549178713877,26977.0,32.1,153.1361762885294,8,GE,GE,555.6585239277904
Widen,99833.0,,959.0,1614.0148100137455,3815.0,,169.72452945133054,11,NE,NE,251.37614678899084
Zetzwil,65719.0,,577.0,222.00016846935304,1381.0,,170.52368790182837,19,AG,AG,417.8131788559015
Würenlos,90240.0,10635.227272727272,2430.0,771.5900348774059,6931.0,,164.2158424189236,15,FR,FR,350.598759197807
Zeihen,71830.0,,270.0,167.69373000434544,1265.0,,181.7242554666242,9,SG,SG,213.4387351778656
Zeiningen,81722.0,,570.0,237.071223042056,2545.0,,148.60372460807756,16,AG,AG,223.96856581532418
Zell (Zh),69052.0,,1640.0,562.2942132418842,6809.0,,147.7169792805987,17,GL,GL,240.85768835364956
Wollerau,238905.0,,4984.0,1455.2784930012617,7596.0,,154.96367430276428,17,FR,FR,656.1348077935755
Zermatt,75708.0,,7638.0,24.44178293016137,6099.0,8.5,164.53747032462616,9,BS,BS,1252.3364485981308
Zufikon,84270.0,9517.194976076555,1198.0,1111.0298358841803,4906.0,,172.04104275070554,15,GE,GE,244.19078679168365
Zug,140181.0,,47525.0,1485.9702632471588,32122.0,37.5,149.42730209876285,18,AI,AI,1479.5155967872486
Zullwil,63010.0,6696.666666666667,90.0,175.53205807582057,701.0,,156.82079711655786,17,GR,GR,128.38801711840227
Zumikon,184491.0,,1852.0,1136.6986844698097,5754.0,,189.01907324648897,9,TG,TG,321.8630517900591
Zuzgen,78533.0,,239.0,110.08406353340051,909.0,,175.3657489059415,11,GL,GL,262.92629262926295
Zeneggen,66500.0,,49.0,51.26506290295422,355.0,,180.43669216466353,11,NE,NE,138.0281690140845
Winkel,113457.0,,1026.0,610.0006250804987,5086.0,,151.67499033123693,18,AI,AI,201.7302398741644
Wildberg,79016.0,,247.0,91.94089498334898,1013.0,,170.79374348557053,10,AR,AR,243.83020730503455
Wiler (Lötschen),62781.0,,235.0,30.89939175600717,528.0,,181.32006711459425,7,FR,FR,445.07575757575756
Wiliberg,74957.0,,54.0,173.65101253862457,170.0,,160.7619197281589,14,VS,VS,317.6470588235294
Würenlingen,74210.0,,3971.0,544.7680936098351,5262.0,,179.42626482360095,14,VD,VD,754.6560243253516
Winterthur,72702.0,10584.0,79024.0,1772.1828709698173,120376.0,47.0,150.77117623033863,12,SO,SO,656.4763740280455
Winznau,66320.0,,359.0,452.5839002481276,2053.0,,170.46760314607334,7,AR,AR,174.86604968339017
Wisen (So),76226.0,,103.0,93.43080142616358,438.0,,169.91687898251504,12,ZH,ZH,235.15981735159815
Witterswil,90374.0,,565.0,602.2457744930847,1500.0,,200.0,5,BL,BL,376.66666666666663
Wittnau,74011.0,4610.454545454545,263.0,123.58973966457017,1429.0,,178.3957776710122,10,SG,SG,184.04478656403077
Wohlen (Ag),69563.0,,9412.0,1490.4752349667363,17816.0,18.6,147.13057835461902,18,BL,BL,528.2891782667265
Wohlenschwil,76045.0,,363.0,529.702912338023,1855.0,,186.3009262066196,7,FR,FR,195.68733153638814
Wolfenschiessen,61041.0,,813.0,23.602276176268838,2121.0,,161.42686473293335,18,VD,VD,383.30975954738335
Wolfhalden,70624.0,,542.0,302.9474962143597,1888.0,,179.6839529404362,5,NW,NW,287.0762711864407
Wölflinswil,68376.0,,323.0,122.96158632091742,1077.0,,149.2103540928326,14,GL,GL,299.9071494893222
Windisch,71589.0,7472.5,5586.0,1522.4258575993101,8153.0,,142.70875867049904,17,JU,JU,685.1465718140562
Stäfa,104523.0,,6743.0,1602.84236352323,15152.0,46.4,164.66657260448395,8,NE,NE,445.0237592397043
Spiringen,53115.0,,315.0,12.970066360291911,881.0,,190.9378770465782,7,UR,UR,357.5482406356413
Volken,81433.0,,84.0,110.02422981238996,382.0,,181.3236005890579,14,ZH,ZH,219.8952879581152
Spreitenbach,63577.0,8125.833333333333,8927.0,1471.1357543199786,12587.0,32.6,161.48226401706165,14,OW,OW,709.2238023357432
Volketswil,81007.0,11653.850856389987,12140.0,1370.5901818344612,19854.0,35.6,159.84808666365458,15,AR,AR,611.4636848997683
Vordemwald,69479.0,,562.0,204.83729449213712,2039.0,,155.4930250363323,11,JU,JU,275.6253065228053
Vorderthal,62127.0,,271.0,38.320097495018196,1035.0,,168.77386323860003,10,ZH,ZH,261.8357487922705
Vouvry,63054.0,,1680.0,135.57698231409134,4803.0,,171.55182890920938,10,GR,GR,349.7813866333542
Vuadens,68011.0,8218.636363636364,1453.0,238.3505366537655,2579.0,,193.14515924619207,6,BL,BL,563.396665374176
St. Niklaus,59425.0,,1346.0,25.427526961596396,2298.0,,184.87295992922265,12,LU,LU,585.7267188859878
St. Silvester,59427.0,,184.0,172.10327263916244,1064.0,,151.5988873729652,17,NW,NW,172.93233082706766
St. Ursen,66955.0,,382.0,94.85906326374206,1419.0,,183.78743514726756,5,AI,AI,269.2036645525018
