name,Avg_Income,Price_per_m2,Total_Jobs,Pop_Density,Total_Population,PT_Share,avg_travel_time_ic,avg_destinations,canton,canton_code,employment_density
Stabio,65444.0,6304.357142857143,7433.0,620.8612397096917,4522.0,,167.14601298089926,13,SH,SH,1643.7417072091996
Stadel,77711.0,9390.36,558.0,190.48304055003743,2455.0,,167.68086815072087,14,BS,BS,227.29124236252545
Solothurn,73927.0,5454.914832190545,22499.0,2950.7078362249435,16847.0,31.2,155.5039042309539,18,AI,AI,1335.4899982192676
Weisslingen,91597.0,,830.0,245.72992418676557,3496.0,,192.6690884028894,11,LU,LU,237.4141876430206
Soral,94704.0,,195.0,259.73059154882975,942.0,,191.01349001977704,4,AR,AR,207.0063694267516
Sorengo,87431.0,,1297.0,2291.155123166643,2183.0,,141.26880673238372,16,AI,AI,594.1365093907467
Sorens,68775.0,11626.363636363636,320.0,141.2152086966941,1103.0,,173.758868623776,7,NE,NE,290.1178603807797
Visperterminen,71782.0,,607.0,25.936189181948585,1318.0,,184.68183105119007,8,TI,TI,460.546282245827
Wassen,59222.0,,265.0,4.486752659775084,431.0,,194.59088604714887,8,NW,NW,614.8491879350348
Wasterkingen,73075.0,,78.0,133.90962565609235,594.0,,171.29282855726245,14,BE,BE,131.31313131313132
Wegenstetten,71508.0,,185.0,170.94570204769252,1017.0,,175.272817871347,10,LU,LU,181.90757128810225
Weiach,73107.0,,355.0,251.42181225742326,2123.0,,160.5441022345509,13,AG,AG,167.21620348563354
Wallisellen,89702.0,16660.0,20951.0,2929.690720969428,17765.0,54.9,128.62555546765148,21,AI,AI,1179.3414016324232
Walchwil,134939.0,,1179.0,279.68120343614095,3995.0,,189.0044539908729,5,ZG,ZG,295.1188986232791
Wald (Ar),67461.0,,324.0,137.95236663670272,929.0,,198.7778976351904,12,SG,SG,348.762109795479
Wald (Zh),67365.0,,3460.0,432.0880112014138,10620.0,,173.996803085531,6,SG,SG,325.8003766478343
Waldstatt,65248.0,,970.0,268.6297308220746,1867.0,,191.99570456431948,7,BS,BS,519.5500803427959
Wallbach,88339.0,,721.0,409.64972072403054,2065.0,,180.75761188656938,15,TI,TI,349.1525423728813
Waltenschwil,72891.0,,649.0,640.9031383332897,3186.0,,163.01668731896166,13,GL,GL,203.7037037037037
Walterswil (So),65855.0,,308.0,168.67984532582577,772.0,,183.50449969381003,8,VD,VD,398.96373056994815
Walzenhausen,66186.0,6359.347826086957,1230.0,336.1962666010205,2054.0,,199.2420372244374,4,AI,AI,598.8315481986368
Wangen (Sz),81482.0,,2094.0,652.9978836926908,5583.0,,172.01804041845728,11,GE,GE,375.0671681891456
Wangen Bei Olten,73448.0,,2613.0,910.0121071748171,5532.0,,193.09145729551167,11,BS,BS,472.34273318872016
Tegerfelden,72227.0,,525.0,168.33925834163628,1304.0,,138.7912766000516,12,AG,AG,402.6073619631902
Tägerig,73698.0,,201.0,485.46819830261865,1547.0,,186.79619685459775,13,LU,LU,129.928894634777
Täsch,57586.0,,294.0,21.922637481773343,1305.0,,181.06439734783052,5,UR,UR,225.28735632183907
Tenero-Contra,61058.0,,1592.0,1043.8562690214194,3393.0,,163.60895942179414,12,TG,TG,469.2012967875037
Tentlingen,65715.0,,344.0,418.42264653534994,1382.0,,176.60934665573828,9,NE,NE,248.91461649782923
Termen,74407.0,,183.0,66.60274126113225,1175.0,,149.43516704462314,18,BE,BE,155.74468085106383
Teufen (Ar),94337.0,,2916.0,431.19016220009325,6522.0,,171.792124878423,7,VS,VS,447.10211591536336
Teufenthal (Ag),63691.0,,368.0,497.7446205691101,1803.0,,179.68422152028722,11,BS,BS,204.1042706600111
Thalheim An Der Thur,79577.0,,344.0,150.692250028161,1004.0,,200.0,11,NW,NW,342.62948207171314
Thônex,81632.0,,6987.0,3856.091553326541,16809.0,50.0,128.22041662924548,17,SO,SO,415.6701766910584
Steinerberg,69308.0,,262.0,145.1571913241728,965.0,,166.22465538241204,13,SH,SH,271.5025906735751
Stalden (Vs),63337.0,,349.0,94.54283950117056,1113.0,,171.4034294145151,9,UR,UR,313.56693620844567
Staldenried,61420.0,,103.0,40.534181261199734,561.0,,193.27728599042663,8,ZG,ZG,183.6007130124777
Stallikon,103031.0,11712.439335887611,801.0,336.23405812746273,3909.0,,181.10232400983213,9,SO,SO,204.91174213353798
Stans,76352.0,,10989.0,755.7012342098701,8508.0,22.2,163.436744652962,11,AG,AG,1291.607898448519
Stansstad,92271.0,,2144.0,452.42380399993385,4922.0,,182.54384827073207,10,BL,BL,435.5952864689151
Starrkirch-Wil,84464.0,,178.0,891.9843046802146,1980.0,,171.28373981996106,17,FR,FR,89.8989898989899
Staufen,80427.0,,917.0,1196.4645315672842,4402.0,,180.8818333327289,9,TG,TG,208.31440254429802
Stein (Ag),75275.0,,3685.0,1225.0748971793453,3512.0,,155.49479576157887,17,ZH,ZH,1049.259681093394
Stein (Ar),71945.0,,540.0,159.7480569322013,1497.0,,173.2705832150358,7,LU,LU,360.7214428857716
Suhr,68786.0,,5371.0,1087.0160716406938,11617.0,26.4,161.7198099420389,11,TG,TG,462.3396746147887
Stetten (Sh),106682.0,,188.0,343.5707665182274,1479.0,,154.1345900065515,17,NE,NE,127.1129141311697
Strengelbach,64071.0,,1459.0,880.598724220075,5098.0,,174.39933877230052,15,GR,GR,286.1906630051
Stein Am Rhein,71068.0,,1743.0,745.5438183491386,3770.0,,175.41491623212025,12,GE,GE,462.33421750663126
Steinen,68447.0,,1437.0,317.6394824698397,3774.0,,176.4600026352914,9,NE,NE,380.76311605723373
Stetten (Ag),73658.0,,1018.0,585.7881028534174,2541.0,,169.80377427742255,12,AI,AI,400.6296733569461
Steinmaur,79732.0,,871.0,410.20120501571427,3716.0,,154.0962155920543,12,GR,GR,234.3918191603875
Steinhausen,93167.0,17294.117647058825,9016.0,2114.9405837756663,10399.0,29.6,149.55874925124056,18,ZG,ZG,867.0064429272045
Thalwil,110379.0,,7113.0,3214.414913718405,18513.0,55.9,138.17801959196748,21,NE,NE,384.21649651596175
Staffelbach,62193.0,,390.0,159.56939409922904,1365.0,,166.15339568066264,11,LU,LU,285.7142857142857
Vico Morcote,107827.0,,144.0,180.52078920326397,408.0,,175.52912426072427,9,AI,AI,352.94117647058823
Thalheim (Ag),72722.0,,247.0,97.84705767961229,956.0,,184.95283269742202,9,BE,BE,258.3682008368201
Unterägeri,97502.0,,3476.0,373.3133493514122,9495.0,,200.0,4,GR,GR,366.0874144286467
Ueberstorf,69931.0,,487.0,155.2207672499365,2433.0,,180.8558582922517,9,BL,BL,200.16440608302509
Uerkheim,67308.0,,335.0,208.4878877001189,1441.0,,181.49244191310655,15,NE,NE,232.47744621790423
Uezwil,69655.0,,91.0,233.10243989670278,554.0,,176.23154028540907,10,AR,AR,164.25992779783394
Turbenthal,68529.0,4793.13829787234,1685.0,225.61157978251214,5300.0,,148.65216345749565,15,AG,AG,317.92452830188677
Tuggen,83283.0,,1529.0,263.1349191870868,3469.0,,176.60772220227776,8,LU,LU,440.76102623234357
Unterbäch,72960.0,,140.0,19.690007752683638,479.0,,180.6876283015404,12,SG,SG,292.2755741127349
Unteriberg,62542.0,,952.0,52.29568444648831,2476.0,,200.0,5,GL,GL,384.49111470113087
Unterkulm,62213.0,,1235.0,432.37342867920097,3801.0,,172.1882826066908,9,SO,SO,324.9144961852144
Unterlunkhofen,88330.0,,273.0,337.92065290754397,1688.0,,180.67501625957505,13,LU,LU,161.7298578199052
Unterramsern,85473.0,,63.0,161.52624352773316,225.0,,177.64454217477177,14,SO,SO,280.0
Unterschächen,54601.0,,175.0,9.275592570640772,746.0,,162.37287748653583,12,BE,BE,234.58445040214477
Untersiggenthal,75696.0,8546.511627906977,2830.0,1194.2541881066531,7812.0,,183.51973013924592,3,ZG,ZG,362.26318484383
Törbel,60585.0,,167.0,30.46407503989581,496.0,,190.94019257975899,10,AI,AI,336.69354838709677
Torricella-Taverne,64449.0,,1764.0,555.9991761774435,3087.0,,185.52807919741224,6,ZG,ZG,571.4285714285714
Trasadingen,62631.0,,230.0,152.6452321360382,619.0,,164.6257771190739,15,JU,JU,371.5670436187399
Unterentfelden,74996.0,,2829.0,1608.735682252428,4550.0,,182.6883008266926,3,GL,GL,621.7582417582418
Treyvaux,68420.0,,318.0,140.3179663226626,1642.0,,157.37952968220486,17,BE,BE,193.66626065773445
Trient,58220.0,,81.0,4.032117404936612,175.0,,188.76575487475594,4,NE,NE,462.85714285714283
Trimbach,62871.0,6448.498345254618,1733.0,922.2983178888062,6854.0,,200.0,7,BL,BL,252.84505398307556
Trogen,80434.0,8123.684210526316,982.0,192.99764048302876,1877.0,,162.9479509674534,13,BS,BS,523.1752797016516
Troinex,122114.0,,682.0,933.4547665480086,3145.0,,160.8597557795502,11,ZG,ZG,216.85214626391098
Troistorrents,67021.0,5336.658227848102,1067.0,136.2152819876039,5022.0,,179.9488952280714,8,AI,AI,212.4651533253684
Trüllikon,73764.0,,317.0,111.15265352041547,1104.0,,171.18806143182917,14,GE,GE,287.1376811594203
Truttikon,75583.0,,133.0,111.93528283210931,458.0,,155.47131163894198,15,AI,AI,290.3930131004367
Veyrier,124622.0,14805.0,2772.0,1866.0598304950618,12085.0,32.0,159.73766467448007,16,VD,VD,229.37525858502275
Vaulruz,67580.0,,775.0,105.55653327683724,1130.0,,162.86951613909866,19,VD,VD,685.8407079646017
Veysonnaz,65601.0,,269.0,575.7581440708165,614.0,,180.54095234862064,5,NW,NW,438.1107491856677
Veltheim (Ag),72755.0,,646.0,311.1524727821805,1600.0,,162.6659817220821,18,NW,NW,403.75
Vernate,82768.0,,68.0,535.6352542366958,613.0,,197.1440552757275,6,GR,GR,110.92985318107668
Vernayaz,56592.0,3528.0,778.0,263.40132812742286,1928.0,,165.25359008663455,10,GL,GL,403.52697095435684
Vernier,64134.0,16342.941176470587,23938.0,4866.081481690109,37837.0,52.7,119.63525411216098,19,VD,VD,632.6611517826466
Vérossaz,64581.0,,85.0,69.00070079314852,902.0,,191.42408807777286,6,NE,NE,94.2350332594235
Versoix,78770.0,,4557.0,1205.9010573518995,13996.0,50.9,147.7814827188924,19,SH,SH,325.59302657902253
Vétroz,64433.0,4720.510869565217,2411.0,452.73962135545037,6605.0,,178.25313096999412,10,AR,AR,365.02649507948524
Vex,69474.0,,678.0,155.17321033270196,1980.0,,197.84487524128335,10,LU,LU,342.42424242424244
Vacallo,74593.0,5072.941176470588,567.0,1977.6762219416123,3491.0,,133.32295242404547,16,JU,JU,162.4176453738184
Val-D'Illiez,61535.0,16611.0,588.0,52.1633921836914,2145.0,,182.1830232035428,9,FR,FR,274.12587412587413
Varen,58285.0,,186.0,54.00196821745019,700.0,,183.29077124456018,5,BE,BE,265.7142857142857
Uster,82931.0,,18297.0,1291.6660374020742,36563.0,49.4,176.99284630161216,11,AG,AG,500.4239258266554
Vandoeuvres,159362.0,14078.076923076924,552.0,691.8797860013539,3030.0,,153.55736199148149,18,GR,GR,182.17821782178217
Vezia,76414.0,,1154.0,1331.975054379344,1958.0,,144.99855621271521,16,LU,LU,589.3769152196119
Vallon,67900.0,,74.0,127.51416625077307,534.0,,186.382565079914,1,FR,FR,138.57677902621722
Urnäsch,60709.0,,983.0,49.05511892491604,2373.0,,183.9037640798272,9,AR,AR,414.2435735356089
Céligny,117525.0,,108.0,191.2539905134027,862.0,,181.58329108304122,10,UR,UR,125.29002320185614
Cerentino,53305.0,,26.0,1.7368560309943366,37.0,,185.18582033258753,10,ZG,ZG,702.7027027027027
Chalais,61714.0,,1180.0,162.35141403864708,3927.0,,167.95542918149846,16,GL,GL,300.48382989559457
Cham,99352.0,,13119.0,998.6573897681968,18273.0,31.7,172.09378713773694,8,GE,GE,717.944508290921
Carouge (Ge),77496.0,,27317.0,7680.439350639481,22488.0,41.8,96.73843643492671,30,GR,GR,1214.7367484880824
Campo (Vallemaggia),40950.0,,34.0,1.1186010583404213,49.0,,169.28088284605224,15,SG,SG,693.8775510204082
Canobbio,83284.0,,1074.0,1658.440004001228,2404.0,,189.065665512097,2,JU,JU,446.75540765391014
Cartigny,131598.0,11606.875,285.0,253.23260463842544,1050.0,,184.22595179357882,10,GL,GL,271.4285714285714
Caslano,64356.0,,1844.0,1333.5844917459456,4400.0,,146.91748240576518,15,OW,OW,419.09090909090907
Champéry,73234.0,,840.0,35.190921905153296,1404.0,,189.45554773455288,7,FR,FR,598.2905982905983
Chamoson,63086.0,4971.868393234672,1273.0,140.7864890135135,4389.0,,163.7817227283611,14,ZG,ZG,290.04329004329
Châtillon (Fr),85131.0,,51.0,720.2159010848934,528.0,,183.59445577409937,7,AG,AG,96.5909090909091
Châtonnaye,62801.0,,184.0,131.70240830104964,860.0,,195.88456957463924,4,FR,FR,213.95348837209303
Châtel-Sur-Montsalvens,70990.0,,34.0,182.3187945977617,358.0,,165.61765224975645,13,VD,VD,94.97206703910614
Châtel-Saint-Denis,70473.0,,4099.0,185.74663493047498,8786.0,,192.33940268454515,3,VD,VD,466.53767357159114
Chêne-Bougeries,109391.0,,5493.0,3671.4988954399764,14342.0,45.8,144.2931733870786,14,AG,AG,383.0009761539534
Chancy,87817.0,,171.0,298.6320176953828,1664.0,,188.93115943223117,10,TG,TG,102.76442307692307
Bühler,64837.0,,996.0,322.68169511334946,1934.0,,200.0,2,GE,GE,514.9948293691831
Buchs (Ag),70881.0,,5723.0,1764.1231657565222,8491.0,,156.19193045306434,17,TI,TI,674.00777293605
Buchs (Zh),78947.0,,2785.0,1223.964351858469,6808.0,,154.73222576335795,17,SH,SH,409.07755581668624
Bülach,75404.0,12658.333333333334,11445.0,1642.064264468277,24508.0,32.2,147.92324843695442,11,NW,NW,466.9903704912682
Bünzen,70110.0,,285.0,215.41495581917115,1245.0,,165.31296438414125,11,VD,VD,228.9156626506024
Buochs,75171.0,,2056.0,565.2723591094986,5483.0,,172.4002277798841,15,FR,FR,374.97720226153564
Brütten,101591.0,,410.0,347.4805763847592,2247.0,,181.1599662434792,6,NE,NE,182.4655095683133
Brunegg,74055.0,,691.0,552.2251974355141,920.0,,177.8560391765209,9,TG,TG,751.0869565217391
Brünisried,63071.0,,89.0,223.12296648763925,724.0,,189.86988611503503,9,TI,TI,122.92817679558011
Buchberg,159063.0,,251.0,197.99373064597302,885.0,,177.94399752372556,12,JU,JU,283.61581920903956
Brusino Arsizio,73010.0,,90.0,113.94604654696,474.0,,200.0,4,AG,AG,189.873417721519
Bubikon,85687.0,,3921.0,625.326115813482,7661.0,,168.9014314079493,10,BS,BS,511.8130792324762
Buch (Sh),68779.0,,76.0,78.23082844119021,336.0,,200.0,9,BS,BS,226.1904761904762
Cadempino,74375.0,,2620.0,2268.8883162987777,1585.0,,163.4962390393942,18,JU,JU,1652.9968454258674
Bürchen,59865.0,,200.0,60.09814567837525,767.0,,166.4655825974001,15,ZG,ZG,260.7561929595828
Büttenhardt,77236.0,,83.0,104.53798248172501,438.0,,162.75231038312637,14,AR,AR,189.49771689497715
Büttikon,77536.0,,225.0,376.6281926482177,1170.0,,182.9470742233838,6,AG,AG,192.30769230769232
Buttwil,71581.0,,198.0,281.2572611592939,1297.0,,173.4466353340055,8,TI,TI,152.65998457979953
Cademario,73898.0,,176.0,197.02502192838617,790.0,,188.47003365529244,9,AR,AR,222.78481012658227
Chénens,75700.0,5675.833333333333,235.0,242.33754529298292,886.0,,184.34138144693128,10,VD,VD,265.2370203160271
Bürglen (Ur),64341.0,,1641.0,72.836048801384,3901.0,,178.0851184474804,14,AR,AR,420.6613688797744
Büren (So),78624.0,,166.0,158.3870230291349,1077.0,,165.49914484510285,15,SG,SG,154.13184772516252
Büsserach,81758.0,,676.0,366.6127421720323,2450.0,,153.10159863383197,11,BE,BE,275.91836734693874
Cressier (Fr),80307.0,,583.0,251.5294190759095,1109.0,,170.44017431085584,15,TG,TG,525.6988277727683
Crésuz,72578.0,,56.0,277.5049676815202,486.0,,189.68738870219005,4,JU,JU,115.22633744855968
Courgevaux,79558.0,,583.0,433.04456765192725,1458.0,,178.27744268203597,9,UR,UR,399.8628257887517
Chêne-Bourg,75850.0,,2965.0,6713.9969100753415,9578.0,,84.68749812158941,31,BE,BE,309.56358321152646
Cottens (Fr),76997.0,,415.0,313.3973509797597,1529.0,,179.0294354879203,16,UR,UR,271.41922825376065
Densbüren,69178.0,8125.833333333333,422.0,64.18438897943192,769.0,,185.056065174234,18,VS,VS,548.7646293888166
Dietlikon,82097.0,11673.529411764706,5697.0,1661.9337880291237,8027.0,,147.78130732392162,18,NW,NW,709.7296623894357
Dietwil,75316.0,,225.0,266.0847728810606,1417.0,,179.27763651037785,9,BL,BL,158.7861679604799
Dinhard,87990.0,,422.0,233.23868145632562,1731.0,,178.21980470127767,11,VS,VS,243.78971692663202
Dintikon,71436.0,7684.090909090909,1313.0,549.3663224642293,2428.0,,156.59375467664995,17,SO,SO,540.7742998352554
Dielsdorf,74768.0,,4827.0,1284.145868277377,6725.0,,170.71815083607967,11,VD,VD,717.7695167286246
Dallenwil,65135.0,,877.0,111.88219062458936,1871.0,,187.14363700900242,13,VD,VD,468.7332977017638
Corsier (Ge),325481.0,17706.81818181818,379.0,788.8747177931153,2313.0,,187.25026541273164,9,NE,NE,163.85646346735842
Cureglia,96188.0,,334.0,1417.4771201223448,1483.0,,179.63649292272137,11,FR,FR,225.21915037086987
Dachsen,84870.0,,420.0,804.3296824589102,1926.0,,150.16304917800034,18,GE,GE,218.06853582554515
Dägerlen,80209.0,,290.0,141.31430349484052,1159.0,,164.32854756849605,14,UR,UR,250.21570319240726
Dällikon,75918.0,,2760.0,1024.3906355190136,4466.0,,176.04178459300948,13,LU,LU,618.0026869682042
Dalpe,64684.0,,31.0,11.71127936104779,185.0,,187.58203573916484,6,LU,LU,167.56756756756758
Däniken,66972.0,,2467.0,583.5481206921074,3073.0,,181.07386432341985,8,JU,JU,802.7985681744224
Dänikon,81306.0,,466.0,709.1961379595523,1866.0,,200.0,2,SG,SG,249.7320471596999
Dardagny,83520.0,,732.0,188.9119729628523,1828.0,,186.41598839803837,9,TG,TG,400.43763676148797
Dättlikon,93742.0,,164.0,275.02799860420834,839.0,,193.90316417237125,9,OW,OW,195.47079856972584
Choulex,117101.0,,201.0,312.06464196154917,1232.0,,190.75695994692532,8,JU,JU,163.14935064935065
Coldrerio,65233.0,,1143.0,1301.4450218694658,2834.0,,174.92475207092738,16,NE,NE,403.3168666196189
Collex-Bossy,111114.0,,273.0,199.59477229423288,1666.0,,173.0016557617343,11,JU,JU,163.8655462184874
Collombey-Muraz,63761.0,,3541.0,341.4853215849,10051.0,,187.4956563577843,10,FR,FR,352.3032534076211
Collonge-Bellerive,148914.0,16758.0,4675.0,1315.0004149790154,8643.0,,153.40678022933463,12,GR,GR,540.9001504107371
Collonges,59133.0,,140.0,79.47207496237766,869.0,,175.5495276727298,9,ZH,ZH,161.1047180667434
Cologny,152170.0,0.0,2503.0,1547.1090469300013,6027.0,,155.06935571371352,17,TG,TG,415.29782644765226
Chippis,58884.0,,512.0,654.5083467038108,1615.0,,173.76630227028372,13,TI,TI,317.0278637770898
Comano,94949.0,,985.0,1146.203920478826,2186.0,,200.0,4,NW,NW,450.5946935041171
Conthey,63078.0,7637.608695652174,4398.0,114.7830615387643,9408.0,,150.689779914228,16,SH,SH,467.4744897959184
Brittnau,69895.0,,761.0,297.0249884537308,4339.0,,186.91250294612877,3,JU,JU,175.38603364830607
Confignon,98435.0,,1334.0,1699.43069258426,4553.0,,136.4204311805147,18,VD,VD,292.9936305732484
Autigny,68989.0,,135.0,123.25855109866656,840.0,,171.52303832941345,14,VD,VD,160.71428571428572
Auw,76579.0,,620.0,279.2903137239813,2301.0,,193.1552873283695,8,FR,FR,269.44806605823555
Avully,77945.0,,184.0,422.1422558958174,1746.0,,176.1546786858808,12,GE,GE,105.38373424971363
Avusy,108659.0,,415.0,248.0028481686869,1412.0,,161.0119801390494,14,VS,VS,293.90934844192634
Ayent,63125.0,,1241.0,85.3221993243115,4451.0,,168.30547626310423,12,LU,LU,278.8137497191642
Arth,71928.0,,4358.0,291.53903395500936,12524.0,27.4,186.87518446490444,6,OW,OW,347.97189396358993
Ascona,80013.0,10057.894736842105,3426.0,573.9489613567455,5322.0,,162.50221690490974,15,FR,FR,643.7429537767756
Ausserberg,69877.0,,117.0,41.45350024330427,640.0,,182.78263971781763,10,GR,GR,182.8125
Attalens,77956.0,8697.5,834.0,398.9185882019476,3693.0,,176.13913710357758,12,GR,GR,225.83265637692932
Attinghausen,67584.0,,468.0,37.908231735072086,1787.0,,169.80222229550802,10,UR,UR,261.89143816452156
Auenstein,82045.0,6661.772727272727,269.0,310.73653561922276,1743.0,,200.0,1,BE,BE,154.3316121629375
Bachenbülach,82671.0,,1616.0,1078.8989702473516,4286.0,,177.20286832300755,13,VD,VD,377.041530564629
Bassersdorf,80858.0,,4716.0,1315.169607555012,12301.0,40.1,134.6200884385756,18,TI,TI,383.3834647589627
Bargen (Sh),60837.0,,73.0,36.082969940723174,342.0,,182.39387625359953,6,VS,VS,213.4502923976608
Bärschwil,61997.0,,129.0,68.76564288792203,796.0,,169.297215859006,14,JU,JU,162.0603015075377
Bardonnex,93399.0,,1044.0,418.5972993648341,2545.0,,188.0174414959084,7,LU,LU,410.21611001964635
Basel,81097.0,9671.052631578947,194174.0,7388.587104302237,177571.0,46.7,83.78581724306883,34,JU,JU,1093.500627917847
Bättwil,81929.0,,397.0,595.3605827341435,1192.0,,171.49227183058335,13,BE,BE,333.05369127516775
Balm Bei Günsberg,83238.0,,105.0,41.29194970353278,230.0,,187.11241403952403,10,ZG,ZG,456.52173913043475
Arogno,61152.0,2138.181818181818,289.0,97.57826455600095,938.0,,191.88146583379427,3,SG,SG,308.10234541577825
